Name.of.institution,UnitID,Sector,OPEID,Calendar.system
National American University-Bloomington,184959,3,732931,Academic
National American University-Albuquerque West,184968,3,732991,Academic
National American University-Brooklyn Center,184995,3,746900,Academic
National American University-Overland Park,185129,3,732993,Academic
National American University-Zona Rosa,185174,3,4051324,Academic
National American University-Austin,185262,3,732994,Academic
National American University-Wichita,185332,3,732903,Academic
National American University-Tulsa,185396,3,2179907,Academic
National American University-Centennial,185466,3,735102,Academic
National American University-Lee's Summit,185509,3,149906,Academic
National American University-Colorado Springs South,185536,3,1072709,Academic
National American University-Bellevue,185572,3,2158417,Academic
National American University-Burnsville,185590,3,732976,Academic
National American University-Mesquite,185679,3,732953,Academic
National American University-Georgetown,185721,3,732907,Academic
National American University-Lewisville,185730,3,10732922,Academic
National American University-Wichita West,185767,3,1072795,Academic
National American University-Richardson,185828,3,3218300,Academic
National American University-Austin South,185873,3,10732903,Academic
National American University-Tigard,185916,3,732990,Academic
National American University-Weldon Spring,185970,3,10732910,Academic
National American University-Rochester,186016,3,267801,Academic
National American University-Indianapolis,186034,3,42098847,Academic
National American University-Houston,186052,3,732989,Academic
Pitt Community College,186131,4,753100,Academic
University of Minnesota-Crookston,186186,1,458600,Academic
Northwood University-Michigan,186201,2,732965,Academic
Northwood University-Florida,186274,2,2179901,Academic
Northwood University-Texas,186283,2,162800,Academic
Eastern Iowa Community College District,186335,4,732967,Academic
Kirkwood Community College,186371,4,3299300,Academic
Montgomery County Community College,186380,4,1048900,Academic
El Centro College,186399,4,732942,Academic
Tucson College,186423,9,1072724,Program
De Anza College,186432,4,732968,Academic
Ohlone College,186469,4,962100,Academic
Everest College-San Bernardino,186584,6,10732919,Academic
City College of San Francisco,186593,4,3414500,Academic
Everest College-Colorado Springs,186618,6,732934,Academic
Everest College-McLean,186645,6,3348400,Academic
Everest College-Santa Ana,186867,9,732962,Program
Everest College-Fort Worth South,186876,6,2295002,Academic
Colorado Mountain College,186900,1,746800,Academic
Everest College-Thornton,187000,6,464602,Academic
Everest College-Aurora,187046,6,189500,Academic
University of Colorado Denver,187134,1,2491500,Academic
University of Colorado Colorado Springs,187161,1,732972,Academic
Housatonic Community College,187198,4,732948,Academic
Leeward Community College,187444,4,149900,Academic
Gem City College,187505,9,732980,Program
Midstate College,187532,3,732909,Academic
International Business College-Fort Wayne,187596,3,732978,Academic
International Business College-Indianapolis,187602,6,149904,Academic
Kaplan University-Davenport Campus,187620,3,145953,Academic
Kaplan University-Cedar Rapids Campus,187639,3,267802,Academic
Kaplan University-Des Moines Campus,187648,3,2491501,Academic
Kaplan University-Mason City Campus,187666,3,10732901,Academic
Kaplan University-Cedar Falls Campus,187745,3,732947,Academic
Kaplan University-Omaha Campus,187897,3,2599700,Academic
Kaplan University-Lincoln Campus,187903,3,732995,Academic
Kaplan University-Hagerstown Campus,187912,3,10732912,Academic
Kaplan University-Maine Campus,187958,3,1111200,Academic
Kaplan University-Augusta Campus,187967,3,1303906,Academic
Northeast Iowa Community College,187976,4,10732925,Academic
Hawkeye Community College,187985,4,457900,Academic
Iowa Western Community College,187994,4,732927,Academic
Northwest Iowa Community College,188003,4,10732915,Academic
Barton County Community College,188021,4,493800,Academic
National College-Nashville,188030,6,3868400,Academic
National College-Stow,188049,6,10732934,Academic
National College-Willoughby Hills,188058,6,10732941,Academic
Spencerian College-Louisville,188100,3,493400,Academic
Spencerian College-Lexington,188137,6,732969,Academic
Sullivan University,188146,3,732958,Academic
Ayers Career College,188182,9,2361600,Program
Delgado Community College,188216,4,1162601,Academic
Dunwoody College of Technology,188225,2,1072718,Academic
Globe University-Woodbury,188261,3,1072725,Academic
Globe University-Eau Claire,188289,3,739400,Academic
Globe University-Sioux Falls,188304,3,1019800,Academic
Globe University-Minneapolis,188340,3,32098884,Academic
Globe University_Madison West,188429,3,42098865,Academic
Globe University-La Crosse,188438,3,732936,Academic
Globe University-Madison East,188465,3,1072751,Academic
Globe University_Wausau,188517,3,10732905,Academic
Globe University_Green Bay,188526,3,1116604,Academic
Globe University-Appleton,188641,3,927006,Academic
Minneapolis Business College,188650,6,842500,Academic
Minnesota School of Business-Richfield,188669,3,10732931,Academic
Minnesota School of Business-Brooklyn Center,188678,3,10732902,Academic
Minnesota School of Business-Plymouth,188687,3,149901,Academic
Minnesota School of Business-Shakopee,188696,3,4118800,Academic
Minnesota School of Business-Waite Park,188854,3,32098869,Academic
Minnesota School of Business-Rochester,188890,3,10732908,Academic
Minnesota School of Business-Blaine,188915,3,732944,Academic
Minnesota School of Business-Moorhead,188942,3,1235800,Academic
Minnesota School of Business-Elk River,188988,3,2179939,Academic
Minnesota School of Business-Lakeville,189088,3,2179947,Academic
Chesapeake College,189097,4,732956,Academic
Hampshire College,189219,2,732986,Academic
Salter College-West Boylston,189228,6,4051312,Program
The Salter School-Tewksbury Campus,189264,9,732928,Program
The Salter School-Malden Campus,189273,9,3965300,Program
Salter School-Fall River,189282,9,10732917,Program
Salter School-New Bedford,189404,9,732981,Program
Salter School of Nursing and Allied Health,189413,9,1256100,Program
Salter College-Chicopee,189422,6,149907,Program
American College for Medical Careers,189459,3,4121500,Program
School of the Museum of Fine Arts-Boston,189468,2,1027900,Academic
Upper Cape Cod Regional Technical School,189477,7,2306804,Program
Baker College of Flint,189547,2,149902,Academic
Baker College of Cadillac,189556,2,464609,Academic
Baker College of Clinton Township,189565,2,732983,Academic
Baker College of Muskegon,189574,2,1026400,Academic
Baker College of Owosso,189583,2,732920,Academic
Baker College of Auburn Hills,189592,2,267814,Academic
Baker College of Port Huron,189653,2,732902,Academic
Baker College of Jackson,189705,2,2260602,Academic
Baker College Center for Graduate Studies,189714,2,732957,Academic
Baker College of Allen Park,189811,2,145929,Academic
Dorsey Business Schools-Southgate,189839,9,267802,Academic
Dorsey Business Schools-Wayne,189848,9,2192800,Academic
Dorsey Business Schools-Madison Heights,189857,9,10732920,Academic
Dorsey Business Schools-Roseville,189954,9,3889300,Academic
Dorsey Business Schools-Farmington Hills,189990,9,3072700,Academic
Dorsey Business Schools-Roseville Culinary Academy,190008,9,1162602,Academic
Dorsey Business Schools-Waterford Pontiac,190044,9,10732942,Academic
Dorsey Business Schools-Saginaw,190053,9,2113610,Academic
Dorsey Business Schools-Lansing,190099,9,461800,Academic
Dorsey Business Schools-Dearborn,190114,9,1014800,Academic
State Technical College of Missouri,190150,4,2179902,Academic
Three Rivers Community College,190169,4,10732940,Academic
Mount Washington College,190239,3,10732949,Academic
Daniel Webster College,190248,3,732963,Academic
Bergen Community College,190293,4,732988,Academic
Mercer County Community College,190309,4,2260603,Academic
Central New Mexico Community College,190318,4,10732928,Academic
Clovis Community College,190372,4,2330100,Academic
CUNY York College,190415,1,1206400,Academic
Central Yeshiva Tomchei Tmimim Lubavitz,190442,2,2602100,Academic
Herkimer County Community College,190451,4,267815,Academic
Mirrer Yeshiva Cent Institute,190503,2,145900,Academic
Monroe College,190512,3,732913,Academic
Everest Institute-Rochester,190521,6,1072702,Academic
Everest College-Arlington,190530,6,732926,Academic
Caldwell Community College and Technical Institute,190549,4,732900,Academic
Guilford Technical Community College,190558,4,149910,Academic
Wake Technical Community College,190567,4,4051307,Academic
Wilson Community College,190585,4,4051321,Academic
Clark State Community College,190594,4,748600,Academic
Bradford School,190600,6,2218800,Academic
Davis College,190619,6,2362100,Academic
University of Northwestern Ohio,190628,2,1258400,Academic
Stautzenberger College-Maumee,190637,6,2113613,Academic
Stautzenberger College-Brecksville,190646,6,732966,Academic
Clackamas Community College,190655,4,2260601,Academic
Cambria-Rowe Business College-Johnstown,190664,6,732977,Academic
Cambria-Rowe Business College-Indiana,190673,6,962105,Academic
Central Penn College,190691,3,2117100,Academic
Du Bois Business College-Du Bois,190707,6,267806,Academic
Du Bois Business College-Oil City,190716,6,3534300,Academic
Du Bois Business College-Huntingdon,190725,6,10732923,Academic
McCann School of Business & Technology,190752,6,2179932,Academic
Miller-Motte Technical College-Macon,190761,6,458606,Academic
Miller-Motte Technical College-Gulfport,190770,6,4051330,Academic
Miami-Jacobs Career College-Dayton,190840,6,12098848,Academic
Miami-Jacobs Career College-Springboro,190956,6,267810,Academic
Miami-Jacobs Career College-Troy,190974,6,732970,Academic
Miami-Jacobs Career College-Independence,190983,6,2179943,Academic
Miami-Jacobs Career College-Columbus,191083,6,10732904,Academic
Miami-Jacobs Career College-Sharonville,191126,6,732914,Academic
Mercy Hospital School of Nursing,191199,5,1303911,Academic
Penn Commercial Business/Technical School,191205,6,2161800,Academic
Kaplan Career Institute-Harrisburg,191241,6,4051301,Program
Kaplan Career Institute-Philadelphia,191287,6,145939,Program
Kaplan College-Jacksonville,191302,6,732921,Program
Trident Technical College,191311,4,62098899,Academic
Clinton College,191339,2,732971,Academic
Forrest College,191409,6,1258401,Academic
Horry-Georgetown Technical College,191515,4,2179938,Academic
Tri-County Technical College,191533,4,267813,Academic
University of South Carolina-Union,191597,4,927002,Academic
Daymar Institute-Nashville,191612,3,732943,Academic
Daymar Institute-Clarksville,191621,3,4051311,Academic
Daymar College-Bowling Green,191630,3,940700,Academic
Daymar Institute-Murfreesboro,191649,3,4051326,Academic
Jackson State Community College,191676,4,2313902,Academic
South College,191719,3,732935,Academic
West Tennessee Business College,191728,6,732929,Program
Galveston College,191764,4,3071805,Academic
Central Virginia Community College,191834,4,10732927,Academic
Miller-Motte Technical College-Lynchburg,191931,6,4051316,Academic
Miller-Motte College-Cary,191959,6,458605,Academic
Miller-Motte College-Raleigh,191968,6,732915,Academic
Miller-Motte College-Fayetteville,191986,6,42098834,Academic
Miller-Motte Technical College-Conway,192004,6,732911,Academic
Miller-Motte College-Jacksonville,192022,6,267811,Academic
Miller-Motte Technical College-Roanoke,192040,6,32098887,Academic
Dabney S Lancaster Community College,192110,4,10732918,Academic
Bellingham Technical College,192156,4,42098866,Academic
Pierce College-Fort Steilacoom,192165,4,2547600,Academic
Pierce College-Puyallup,192192,4,32098812,Academic
Edmonds Community College,192271,4,1303908,Academic
Walla Walla Community College,192323,4,2117102,Academic
West Virginia Junior College-Morgantown,192439,6,1111202,Academic
Pennsylvania Institute of Health and Technology,192448,6,2218808,Academic
Mountain State College,192484,6,887800,Academic
University of Wisconsin-Parkside,192509,1,732922,Academic
Universidad Adventista de las Antillas,192624,2,458608,Academic
Universidad Central de Bayamon,192688,2,1009800,Academic
Beal College,192703,6,3014900,Program
The College of Westchester,192712,3,1303900,Academic
Salt Lake Community College,192749,4,10732906,Academic
New River Community College,192785,4,10732943,Academic
Bluegrass Community and Technical College,192800,4,732901,Academic
University of Arkansas Community College-Morrilton,192819,4,10732909,Academic
Ridgewater College,192828,4,4051327,Academic
Lanier Technical College,192864,4,3043900,Academic
Moultrie Technical College,192925,4,3164300,Academic
Wiregrass Georgia Technical College,192961,4,10732913,Academic
Hawaii Community College,193016,4,732950,Academic
J F Drake State Community and Technical College,193052,4,2250600,Academic
Minnesota West Community and Technical College,193061,4,4051323,Academic
Flint Hills Technical College,193070,4,2055200,Academic
North Central Kansas Technical College,193122,4,675506,Academic
Northwest Kansas Technical College,193186,4,3010627,Program
Southcentral Kentucky Community and Technical College,193201,4,267812,Academic
Gateway Community and Technical College,193247,4,732974,Academic
Central Maine Community College,193265,4,3010620,Academic
Eastern Maine Community College,193283,4,754803,Academic
Greater Lowell Technical School,193292,7,3010619,Program
Tennessee College of Applied Technology-Covington,193308,4,145937,Program
Tennessee College of Applied Technology-Elizabethton,193326,4,747000,Program
Tennessee College of Applied Technology-Hartsville,193353,4,267816,Program
Tennessee College of Applied Technology-Newbern,193399,4,2578000,Program
Kirksville Area Technical Center,193478,7,4051306,Program
Waynesville Career Center,193584,7,675500,Program
White Mountains Community College,193609,4,781900,Academic
Waukesha County Technical College,193645,4,72098818,Academic
Northeast Wisconsin Technical College,193654,4,4051328,Academic
Chippewa Valley Technical College,193672,4,1072706,Academic
Bates Technical College,193760,4,2218805,Academic
Tennessee College of Applied Technology-McMinnville,193858,4,732933,Program
Lake Area Technical Institute,193900,4,732973,Academic
Pittsburgh Institute of Aeronautics,193946,5,4051319,Academic
Tulsa Technology Center-Lemley Campus,193973,4,4051322,Program
Tulsa Technology Center-Riverside Campus,193991,4,4051317,Program
Tulsa Technology Center-Broken Arrow Campus,194028,7,2098800,Program
Tulsa Technology Center-Peoria Campus,194091,7,4051332,Program
Tulsa Technology Center-Owasso Campus,194116,7,1303904,Program
Tulsa Technology Center-Sand Springs Campus,194161,7,4051325,Program
Red River Technology Center,194189,7,931309,Program
North Central State College,194222,4,2278800,Academic
Coastal Carolina Community College,194240,4,3122600,Academic
Forsyth Technical Community College,194259,4,732924,Academic
Catawba Valley Community College,194310,4,458609,Academic
Cape Fear Community College,194392,4,2160300,Academic
Fayette County Career & Technical Institute Practical Nursing Program,194435,7,145901,Program
Central Pennsylvania Institute of Science and Technology,194499,7,2504200,Program
Metro Technology Centers,194569,4,4051303,Program
Tennessee College of Applied Technology-Morristown,194578,4,52098845,Program
Tennessee College of Applied Technology-McKenzie,194611,4,2179944,Program
Tennessee College of Applied Technology-Livingston,194657,4,754802,Program
Tennessee College of Applied Technology-Jackson,194666,4,2291300,Program
Tennessee College of Applied Technology-Hohenwald,194675,4,2098869,Program
Tennessee College of Applied Technology-Crump,194693,4,1072722,Program
Tennessee College of Applied Technology-Athens,194736,4,2078900,Program
Tennessee College of Applied Technology-Nashville,194763,4,4051300,Program
Tennessee College of Applied Technology-Memphis,194824,4,145911,Program
Denmark Technical College,194879,4,3698300,Academic
York County School of Technology-Adult & Continuing Education,194958,7,2313900,Program
South Puget Sound Community College,194967,4,2190700,Academic
Lake Washington Institute of Technology,195003,1,32098879,Academic
Northeast State Community College,195030,4,1019500,Academic
Tennessee College of Applied Technology-Shelbyville,195058,4,2260604,Program
Mid-State Technical College,195067,4,3010621,Academic
Nicolet Area Technical College,195128,4,4051345,Academic
Northcentral Technical College,195164,4,4122300,Academic
Gateway Technical College,195173,4,1072712,Academic
Blackhawk Technical College,195191,4,3071801,Academic
Monmouth County Vocational School District,195216,7,145942,Program
South Central Career Center,195234,7,1072747,Program
Sikeston Career and Technology Center,195243,7,32098849,Program
Rolla Technical Institute/Center,195289,4,72098832,Program
Poplar Bluff Technical Career Center,195304,7,4051333,Program
Saline County Career Center,195322,7,42098854,Program
Randolph Community College,195438,4,869410,Academic
Durham Technical Community College,195474,4,3010626,Academic
Central Carolina Community College,195526,4,2179941,Academic
Teterboro School of Aeronautics,195544,6,32098858,Program
Salem Community College,195623,4,52098843,Academic
Alamance Community College,195702,4,1072717,Academic
Richmond Community College,195720,4,3267300,Academic
SOWELA Technical Community College,195784,4,32098862,Academic
Capital Area Technical College,195809,4,10732929,Academic
Central Louisiana Technical Community College,195845,4,1072720,Academic
Wichita Area Technical College,195933,4,998900,Academic
Salina Area Technical College,195988,4,3122601,Academic
Manhattan Area Technical College,196006,4,3698302,Academic
Coastal Pines Technical College,196015,4,145900,Academic
Diman Regional Technical Institute,196024,7,732939,Program
Blue Hills Regional Technical School,196033,7,42098871,Program
Southern Maine Community College,196042,4,754800,Academic
South Central Louisiana Technical College-Young Memorial Campus,196051,4,149908,Academic
Grand River Technical School,196060,7,745900,Program
Cape Girardeau Career and Technology Center,196079,4,4051329,Program
Saint Paul College,196088,4,267808,Academic
St Cloud Technical and Community College,196097,4,149905,Academic
Pine Technical & Community College,196103,4,3031406,Academic
South Central College,196112,4,32098829,Academic
Minnesota State Community and Technical College,196121,4,32098864,Academic
Alexandria Technical & Community College,196130,4,2098896,Academic
Charles H McCann Technical School,196149,7,82098816,Program
Lively Technical Center,196158,7,869408,Program
Lindsey Hopkins Technical Education Center,196167,4,835000,Program
D G Erwin Technical Center,196176,4,3031408,Academic
Emily Griffith Technical College,196185,7,1072714,Program
Augusta Technical College,196194,4,1303910,Academic
Athens Technical College,196200,4,32098816,Academic
Albany Technical College,196219,4,732954,Academic
Pinellas Technical College-Clearwater,196237,4,42098867,Program
Suncoast Technical College,196246,7,1072700,Program
Traviss Career Center,196264,4,4051308,Academic
Manatee Technical Institute,196291,4,3001200,Program
Southwest Georgia Technical College,196389,4,2117104,Academic
South Georgia Technical College,196413,4,3072702,Academic
Savannah Technical College,196431,4,2179913,Academic
North Georgia Technical College,196440,4,145932,Academic
Chattahoochee Technical College,196477,4,1303918,Academic
Southern Crescent Technical College,196565,4,869402,Academic
Georgia Piedmont Technical College,196583,4,382000,Academic
Columbus Technical College,196592,4,42098884,Academic
Downey Adult School,196653,4,3724300,Program
Hacienda La Puente Adult Education,196699,7,962106,Program
Shelton State Community College,196857,4,493401,Academic
Reid State Technical College,196866,4,1024800,Academic
Northwest-Shoals Community College,197018,4,3031405,Academic
George C Wallace State Community College-Selma,197045,4,458615,Academic
Southeast Arkansas College,197081,4,675501,Academic
University of Arkansas Community College-Hope,197133,4,1072786,Academic
Bevill State Community College,197142,4,4051318,Academic
H Councill Trenholm State Technical College,197151,4,927003,Academic
Clover Park Technical College,197197,1,3010602,Academic
Owens Community College,197221,4,927004,Academic
Rowan-Cabarrus Community College,197230,4,464204,Academic
Lake Superior College,197285,4,267803,Academic
Northwest Technical College,197294,4,82098821,Academic
Northern Maine Community College,197337,4,3079202,Academic
Fletcher Technical Community College,197522,4,479900,Academic
Central Georgia Technical College,197531,4,2179945,Academic
National Aviation Academy of New England,197601,6,2298500,Program
Bridgeport Hospital School of Nursing,197610,8,927007,Academic
St Vincent's College,197647,2,22098812,Academic
Trinity College of Nursing & Health Sciences,197674,2,927000,Academic
Methodist College,197692,2,754801,Academic
Saint Elizabeth School of Nursing,197708,5,1303912,Academic
Mercy College of Health Sciences,197735,2,869414,Academic
Maine College of Health Professions,197744,5,1091300,Academic
Signature Healthcare Brockton Hospital School of Nursing,197814,5,638501,Program
Laboure College,197832,2,2577900,Academic
Lawrence Memorial Hospital School of Nursing,197850,5,42098802,Academic
Chamberlain College of Nursing-Illinois,197869,3,1072752,Academic
Chamberlain College of Nursing-Ohio,197887,3,732975,Academic
Chamberlain College of Nursing-Arizona,197911,3,4127400,Academic
Chamberlain College of Nursing-Florida,197966,3,2179936,Academic
Chamberlain College of Nursing-Virginia,197984,3,42098827,Academic
Chamberlain College of Nursing-Missouri,197993,3,962107,Academic
Chamberlain College of Nursing-Texas,198011,3,52098836,Academic
Chamberlain College of Nursing-Indiana,198039,3,1258406,Academic
Chamberlain College of Nursing-Georgia,198066,3,2559000,Academic
Bryan College of Health Sciences,198075,2,746600,Academic
Nebraska Methodist College of Nursing & Allied Health,198084,2,732985,Academic
Holy Name Medical Center School of Nursing,198109,5,855200,Academic
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing,198118,5,3113600,Academic
Saint Francis Medical Center School of Nursing,198136,5,2616700,Academic
Arnot Ogden Medical Center,198154,5,458604,Program
Phillips Beth Israel School of Nursing,198190,2,1091302,Academic
Crouse Hospital College of Nursing,198206,5,3079200,Academic
Belanger School of Nursing,198215,5,267807,Academic
Saint Elizabeth College of Nursing,198233,5,2541200,Academic
St Joseph's College of Nursing at St Joseph's Hospital Health Center,198242,5,962103,Academic
Cabarrus College of Health Sciences,198251,2,3128700,Academic
Mercy School of Nursing,198260,4,962110,Academic
Aultman College of Nursing and Health Sciences,198303,2,732945,Academic
The Christ College of Nursing and Health Sciences,198321,2,464608,Academic
Good Samaritan College of Nursing and Health Science,198330,2,32098839,Academic
Trinity Health System School of Nursing,198367,5,117700,Academic
Citizens School of Nursing,198376,5,732910,Program
DLP Conemaugh Memorial Medical Center,198385,5,2614201,Program
St Margaret School of Nursing,198419,5,2179928,Academic
Pittsburgh's Ohio Valley Hospital School of Nursing,198455,8,1162600,Academic
Reading Hospital School of Health Sciences,198464,5,493402,Academic
University of Pittsburgh Medical Center-Shadyside School of Nursing,198491,5,2179948,Academic
Sharon Regional Health System School of Nursing,198507,8,1303913,Academic
Western Pennsylvania Hospital School of Nursing,198516,5,743900,Academic
St Joseph School of Nursing,198525,5,1246117,Academic
Covenant School of Nursing and Allied Health,198534,5,267800,Academic
Jefferson College of Health Sciences,198543,2,962104,Academic
Bellin College,198552,2,962111,Academic
College of DuPage,198561,4,735100,Academic
Angelina College,198570,4,1013000,Academic
Lutheran School of Nursing,198598,6,32098874,Academic
College of Alameda,198613,4,1072774,Academic
Casa Loma College-Van Nuys,198622,5,890200,Program
Valencia College,198640,1,1303919,Academic
Illinois Central College,198668,4,405700,Academic
Brown Mackie College-Salina,198677,3,461900,Academic
Brown Mackie College-Kansas City,198695,3,2305800,Academic
Brown Mackie College-Oklahoma City,198710,3,4051305,Academic
Northshore Technical Community College,198729,4,4169700,Academic
University of Maine at Augusta,198747,1,464208,Academic
Mid Michigan Community College,198756,4,464605,Academic
College for Creative Studies,198774,2,405719,Academic
Rainy River Community College,198808,4,4080300,Academic
Flathead Valley Community College,198817,4,188100,Academic
Genesee Community College,198835,4,456800,Academic
Schenectady County Community College,198844,4,2179914,Academic
Clinton Community College,198862,4,3031400,Academic
Tompkins Cortland Community College,198871,4,464601,Academic
Columbia-Greene Community College,198899,4,405704,Academic
SUNY at Purchase College,198905,1,2075700,Academic
Craven Community College,198914,4,464200,Academic
Lakeland Community College,198923,4,2179909,Academic
Community College of Beaver County,198941,4,869400,Academic
Lehigh Carbon Community College,198950,4,890201,Academic
Luzerne County Community College,198969,4,2113600,Academic
Orangeburg Calhoun Technical College,198978,4,1303907,Academic
Blue Ridge Community College,198987,4,4051302,Academic
Dyersburg State Community College,199005,4,464603,Academic
Motlow State Community College,199014,4,4127900,Academic
Unity College,199023,2,962102,Academic
Camden County College,199032,4,267809,Academic
Columbus State Community College,199069,4,2518400,Academic
Thomas Nelson Community College,199078,4,405725,Academic
Marian Court College,199087,2,2189103,Academic
Rowan College at Gloucester County,199102,4,2179905,Academic
Montgomery College,199111,4,4051304,Academic
Waubonsee Community College,199120,4,2557800,Academic
Linn-Benton Community College,199139,4,464606,Academic
Dallas Christian College,199148,2,716400,Academic
Mid-America Christian University,199157,2,464206,Academic
Kalamazoo Valley Community College,199184,4,342100,Academic
University of South Carolina-Upstate,199193,1,464207,Academic
Maysville Community and Technical College,199209,4,3010600,Academic
Jefferson Community and Technical College,199218,4,2270802,Academic
Hazard Community and Technical College,199263,4,464209,Academic
Canada College,199272,4,2189101,Academic
Lincoln University,199281,2,2298000,Academic
Great Basin College,199306,1,464201,Academic
Naugatuck Valley Community College,199315,4,747000,Academic
CUNY Lehman College,199324,1,405702,Academic
Pamlico Community College,199333,4,464607,Academic
MidAmerica Nazarene University,199412,2,405703,Academic
Kettering College,199421,2,140100,Academic
Crowley's Ridge Technical Institute,199449,7,2604700,Academic
Los Angeles Southwest College,199458,4,2189100,Academic
Bellus Academy-National City,199467,6,145935,Program
Delaware Technical Community College-Owens,199476,4,3832300,Academic
Mount Vernon Nazarene University,199485,2,1116600,Academic
Everest Institute-Pittsburgh,199494,6,520800,Academic
College of the Mainland,199582,4,2179907,Academic
Virginia Highlands Community College,199607,4,464202,Academic
Essex County College,199625,4,1116601,Academic
University of Puerto Rico-Rio Piedras,199634,1,458607,Academic
SUNY College at Old Westbury,199643,1,405707,Academic
Delaware County Community College,199670,4,2179929,Academic
North Country Community College,199689,4,1208800,Academic
Arizona Christian University,199698,2,1157400,Academic
Moorpark College,199713,4,3072701,Academic
Parkland College,199722,4,849500,Academic
Rend Lake College,199731,4,1303900,Academic
Des Moines Area Community College,199740,4,464205,Academic
Faith Baptist Bible College and Theological Seminary,199759,2,2179900,Academic
Newberry School of Beauty,199768,9,472900,Program
Lyles Fresno College of Beauty,199786,9,464600,Program
Bryan University,199795,3,2491100,Academic
Lincoln Land Community College,199838,4,464604,Academic
Kirtland Community College,199847,4,473100,Academic
Adrian's College of Beauty Modesto,199856,9,3031400,Program
Wyotech-Fremont,199865,6,1014805,Program
Northampton County Area Community College,199892,4,464203,Academic
Salon Success Academy-Upland,199908,9,493404,Program
Modern Beauty Academy,199926,9,1116602,Program
University of Puerto Rico-Cayey,199953,1,3027700,Academic
Redondo Beach Beauty College,199962,9,3027702,Program
University of Puerto Rico-Arecibo,199971,1,3066300,Academic
Heald College-San Francisco,199980,6,3027701,Academic
Heald College-Honolulu,199999,6,2171500,Academic
Heald College-Portland,200004,6,4185500,Academic
Heald College-Concord,200013,6,466610,Academic
Heald College-San Jose,200022,6,4194400,Academic
Heald College-Hayward,200059,6,2179930,Academic
Heald College-Modesto,200086,6,2179935,Academic
Heald College-Roseville,200110,6,2179908,Academic
Heald College-Salinas,200129,6,2179918,Academic
Heald College-Stockton,200156,6,2179921,Academic
Heald College-Rancho Cordova,200165,6,3115001,Academic
Heald College-Fresno,200192,6,4051342,Academic
Federico Beauty Institute,200208,9,267817,Program
Southwest Virginia Community College,200217,4,4189700,Academic
Holy Cross College,200226,2,2189106,Academic
Mesivta Torah Vodaath Rabbinical Seminary,200253,2,638511,Academic
Carl Sandburg College,200262,4,638510,Academic
Pima Community College,200280,4,638507,Academic
CUNY Bernard M Baruch College,200305,1,638508,Academic
Eastern Gateway Community College,200314,4,3071605,Academic
Hawaii Pacific University,200332,2,1072749,Academic
Central Arizona College,200341,4,1072776,Academic
Brazosport College,200387,1,4148300,Academic
Central Wyoming College,200466,4,2245506,Academic
St Luke's College,200484,2,4219000,Academic
Coleman University,200527,2,10732953,Academic
Redstone College,200554,6,10732952,Academic
Eli Whitney Technical High School,200572,7,10732954,Program
Lincoln Technical Institute-New Britain,200590,9,10732957,Program
Lincoln Technical Institute-Shelton,200624,9,10732950,Program
Lincoln Technical Institute-Philadelphia,200633,6,10732958,Program
Lincoln Technical Institute-East Windsor,200785,9,10732955,Program
Lincoln College of Technology-Melrose Park,200800,6,2520300,Program
Culinary Institute of America,200828,2,4162000,Academic
Porter and Chester Institute of Branford,200846,9,458617,Academic
Windham Technical High School,200873,7,458612,Program
Western Iowa Tech Community College,201016,4,4182500,Academic
ITT Technical Institute-Indianapolis,201034,3,2304000,Academic
ITT Technical Institute-Arlington Heights,201061,3,405701,Academic
ITT Technical Institute-Austin,201098,3,405716,Academic
ITT Technical Institute-Houston North,201104,3,405720,Academic
ITT Technical Institute-Harrisburg,201131,6,405733,Academic
ITT Technical Institute-Houston West,201159,3,405726,Academic
ITT Technical Institute-Orange,201177,3,405715,Academic
ITT Technical Institute-Tampa,201195,3,405717,Academic
ITT Technical Institute-Tempe,201283,3,405727,Academic
ITT Technical Institute-Westminster,201371,3,405723,Academic
ITT Technical Institute-Arlington,201399,3,405713,Academic
ITT Technical Institute-Webster,201432,3,405729,Academic
ITT Technical Institute-Boise,201441,3,405739,Academic
ITT Technical Institute-Albany,201469,6,405737,Academic
ITT Technical Institute-Pittsburgh,201478,6,405724,Academic
ITT Technical Institute-Tarentum,201496,6,405730,Academic
ITT Technical Institute-Getzville,201539,6,405728,Academic
ITT Technical Institute-Dayton,201548,3,405718,Academic
ITT Technical Institute-Strongsville,201584,3,405732,Academic
ITT Technical Institute-Maumee,201609,3,405736,Academic
ITT Technical Institute-Earth City,201618,3,405708,Academic
ITT Technical Institute-Omaha,201627,3,405734,Academic
ITT Technical Institute-Cordova,201645,3,405722,Academic
ITT Technical Institute-Warrensville Heights,201654,3,405735,Academic
ITT Technical Institute-Swartz Creek,201672,3,405721,Academic
ITT Technical Institute-Fort Lauderdale,201681,3,405731,Academic
ITT Technical Institute-Troy,201690,3,3838300,Academic
ITT Technical Institute-Oak Brook,201751,3,3062702,Academic
ITT Technical Institute-Charlotte South,201803,3,869424,Academic
ITT Technical Institute-South Bend,201821,3,1303915,Academic
ITT Technical Institute-Greenfield,201858,3,1303922,Academic
ITT Technical Institute-Green Bay,201885,3,1303923,Academic
ITT Technical Institute-Eden Prairie,201928,3,1303914,Academic
ITT Technical Institute-Atlanta,201946,3,145948,Academic
